epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5472656488418579,0.6840808987617493,0.1,0.8109375238418579,0.6100869178771973
1,0.5687500238418579,0.689559817314148,0.1,0.7359375357627869,0.6622048020362854
2,0.588671863079071,0.667655885219574,0.1,0.5,0.6936885118484497
3,0.508984386920929,0.6930736899375916,0.1,0.5,0.6917247176170349
4,0.5511718988418579,0.6859138607978821,0.1,0.628125011920929,0.6896082162857056
5,0.5796875357627869,0.6783323287963867,0.1,0.5,0.6930395364761353
6,0.5484375357627869,0.6810159087181091,0.1,0.5,0.6947018504142761
7,0.494140625,0.6940217018127441,0.1,0.5,0.6930541396141052
8,0.507031261920929,0.6930201649665833,0.1,0.5,0.6920121908187866
9,0.583203136920929,0.7329244017601013,0.1,0.5,0.692797839641571
10,0.5484375357627869,0.6848478317260742,0.1,0.7093750238418579,0.6583477854728699
11,0.549609363079071,0.6896951198577881,0.1,0.5,0.693188488483429
12,0.500781238079071,0.691727340221405,0.1,0.7359375357627869,0.6685945987701416
13,0.610156238079071,0.6616371870040894,0.1,0.6812500357627869,0.6596114039421082
14,0.6878906488418579,0.6080138683319092,0.1,0.848437488079071,0.44580116868019104
15,0.678515613079071,0.5968448519706726,0.1,0.856249988079071,0.47024187445640564
16,0.7769531607627869,0.4763997197151184,0.1,0.8500000238418579,0.39882248640060425
17,0.8128906488418579,0.42966946959495544,0.1,0.856249988079071,0.3678666055202484
18,0.8296875357627869,0.38585448265075684,0.1,0.903124988079071,0.31797024607658386
19,0.858593761920929,0.3295336663722992,0.1,0.8984375,0.28398382663726807
20,0.8902344107627869,0.2661442160606384,0.1,0.910937488079071,0.2474953979253769
21,0.782421886920929,0.48483583331108093,0.1,0.875,0.35030606389045715
22,0.8832031488418579,0.2956955134868622,0.1,0.8890625238418579,0.28270137310028076
23,0.9125000238418579,0.22473812103271484,0.1,0.871874988079071,0.3035527169704437
24,0.9273437857627869,0.1921577900648117,0.1,0.859375,0.3514668047428131
25,0.9476562738418579,0.15011945366859436,0.1,0.893750011920929,0.2662217319011688
26,0.9027343988418579,0.27194470167160034,0.1,0.856249988079071,0.2839713394641876
27,0.9457031488418579,0.14950914680957794,0.1,0.7906250357627869,0.44749686121940613
28,0.959765613079071,0.12428516149520874,0.1,0.878125011920929,0.30266377329826355
29,0.9625000357627869,0.10530459880828857,0.1,0.871874988079071,0.29666903614997864
30,0.971875011920929,0.08901816606521606,0.1,0.8656250238418579,0.4069758355617523
31,0.9742187857627869,0.08069104701280594,0.1,0.9078125357627869,0.27489715814590454
32,0.97265625,0.07665125280618668,0.1,0.879687488079071,0.40293797850608826
33,0.9312500357627869,0.2095305174589157,0.1,0.890625,0.32525962591171265
34,0.9765625,0.07091812789440155,0.1,0.9000000357627869,0.3054053485393524
35,0.9859375357627869,0.045123253017663956,0.1,0.90625,0.3539389967918396
36,0.951171875,0.1520758420228958,0.1,0.9140625,0.27069345116615295
37,0.986328125,0.0424671471118927,0.1,0.8609375357627869,0.48245522379875183
38,0.981640636920929,0.050343431532382965,0.1,0.9000000357627869,0.305922269821167
39,0.9906250238418579,0.0257257129997015,0.1,0.9281250238418579,0.38167905807495117
40,0.987500011920929,0.03498866781592369,0.1,0.90625,0.37293684482574463
41,0.9945312738418579,0.015376831404864788,0.1,0.9125000238418579,0.3312959671020508
42,0.995312511920929,0.01952986605465412,0.1,0.8296875357627869,1.2401031255722046
43,0.962890625,0.12016427516937256,0.1,0.9000000357627869,0.39203429222106934
44,0.936718761920929,0.19238333404064178,0.1,0.807812511920929,0.3683070242404938
45,0.959765613079071,0.10886173695325851,0.1,0.9203125238418579,0.23630383610725403
46,0.984375,0.048752494156360626,0.1,0.921875,0.28462693095207214
