-1,0,1,2,3,4,5,6,7,8,9,
0,441,0,4,4,1,22,14,4,7,3,
1,0,487,0,0,0,9,1,1,2,0,
2,8,45,370,16,14,9,15,7,12,4,
3,2,25,15,385,0,26,3,8,29,7,
4,1,16,6,0,409,3,8,2,5,50,
5,17,44,3,56,19,324,10,1,15,11,
6,5,28,15,0,13,9,430,0,0,0,
7,4,36,5,0,8,4,1,421,5,16,
8,4,30,6,36,7,22,6,1,354,34,
9,8,22,5,8,47,6,2,19,17,366,
