-1,0,1,2,3,4,5,6,7,8,9,
0,442,0,4,4,1,23,15,4,7,0,
1,0,489,0,0,0,8,1,1,0,1,
2,9,38,380,16,12,7,9,8,15,6,
3,1,18,15,386,1,32,4,9,24,10,
4,1,11,6,0,415,2,7,2,3,53,
5,15,36,4,69,18,317,11,1,10,19,
6,6,23,17,0,7,10,434,2,1,0,
7,3,28,4,0,19,5,0,421,2,18,
8,2,27,10,46,7,21,3,2,354,28,
9,4,11,4,7,49,6,2,26,7,384,
