-1,0,1,2,3,4,5,6,7,8,9,
0,431,0,17,2,2,30,4,2,6,6,
1,0,475,0,1,0,0,5,1,18,0,
2,13,38,332,9,12,26,40,18,11,1,
3,0,50,48,280,1,32,7,12,63,7,
4,10,37,4,1,372,8,7,2,7,52,
5,24,95,33,70,13,170,15,9,44,27,
6,5,64,7,1,15,12,390,1,5,0,
7,1,48,1,0,27,4,1,375,13,30,
8,12,55,3,78,9,30,6,9,279,19,
9,22,56,3,7,37,10,2,26,25,312,
