-1,0,1,2,3,4,5,6,7,8,9,
0,309,6,13,16,9,55,11,6,74,1,
1,0,425,6,2,17,0,0,39,7,4,
2,84,44,196,13,49,16,57,6,27,8,
3,90,41,35,108,34,15,28,52,59,38,
4,26,52,34,19,168,34,79,50,17,21,
5,51,109,17,36,62,49,44,57,47,28,
6,39,43,73,5,123,13,178,2,22,2,
7,9,91,4,34,18,32,3,242,42,25,
8,160,37,26,29,30,39,30,20,113,16,
9,25,46,6,58,54,42,19,137,45,68,
