-1,0,1,2,3,4,5,6,
0,99,0,0,0,0,0,1,
1,0,100,0,0,0,0,0,
2,0,0,99,1,0,0,0,
3,0,0,6,94,0,0,0,
4,0,0,0,0,99,1,0,
5,0,0,0,0,0,100,0,
6,4,0,0,0,0,0,96,
