-1,0,1,2,3,4,5,6,
0,96,0,0,0,0,0,4,
1,0,100,0,0,0,0,0,
2,0,0,94,3,0,1,2,
3,0,0,5,95,0,0,0,
4,0,0,0,0,98,2,0,
5,0,0,0,0,1,99,0,
6,5,1,0,0,0,0,94,
